DGCODE;GRPCODE;DGNAME;MKBCODE
10002771;10000210;Гельминтозы неуточненные;B83.9
10002772;10000211;Педикулез, вызванный Pediculus humanus capitis;B85.0
10002773;10000211;Педикулез, вызванный Pediculus humanus corporis;B85.1
10002774;10000211;Педикулез неуточненный;B85.2
10002775;10000211;Фтириоз;B85.3
10002776;10000211;Смешанный педикулез;B85.4
10002777;10000213;Кожный миаз;B87.0
10002778;10000213;Раневой миаз;B87.1
10002779;10000213;Глазной миаз;B87.2
10002780;10000213;Носоглоточный миаз;B87.3
10002781;10000213;Ушной миаз;B87.4
10002782;10000213;Миаз другой локализации;B87.8
10002783;10000213;Миаз неуточненный;B87.9
10002784;10000214;Другой аскариаз;B88.0
10002785;10000214;Тунгиоз [инфестация тропической песчаной блохой];B88.1
10002786;10000214;Другие инфестации членистоногими;B88.2
10002787;10000214;Наружный гирудиноз;B88.3
10002788;10000214;Другие уточненные инфестации;B88.8
10002789;10000214;Инфестация неуточненная;B88.9
10002790;10000216;Отдаленные последствия туберкулеза центральной нервной системы;B90.0
10002791;10000216;Отдаленные последствия туберкулеза мочеполовых органов;B90.1
10002792;10000216;Отдаленные последствия туберкулеза костей и суставов;B90.2
10002793;10000216;Отдаленные последствия туберкулеза других уточненных органов;B90.8
10002794;10000216;Отдаленные последствия туберкулеза органов дыхания и неуточненного туберкулеза;B90.9
10002795;10000219;Отдаленные последствия трахомы;B94.0
10002796;10000219;Отдаленные последствия вирусного энцефалита;B94.1
10002797;10000219;Отдаленные последствия вирусного гепатита;B94.2
10002798;10000219;Отдаленные последствия других уточненных инфекционных и паразитарных болезней;B94.8
10002799;10000219;Отдаленные последствия неуточненных инфекционных и паразитарных болезней;B94.9
10002800;10000220;Стрептококки группы A как причина болезней, классифицированных в других рубриках;B95.0
10002801;10000220;Стрептококки группы B как причина болезней, классифицированных в других рубриках;B95.1
10002802;10000220;Стрептококки группы D как причина болезней, классифицированных в других рубриках;B95.2
10002803;10000220;Streptococcus pneumoniae как причина болезней, классифицированных в других рубриках;B95.3
10002804;10000220;Другие стрептококки как причина болезней, классифицированных в других рубриках;B95.4
10002805;10000220;Неуточненные стрептококки как причина болезней, классифицированных в других рубриках;B95.5
10002806;10000220;Staphylococcus aureus как причина болезней, классифицированных в других рубриках;B95.6
10002807;10000220;Другие стафилококки как причина болезней, классифицированных в других рубриках;B95.7
10002808;10000220;Неуточненные стафилококки как причина болезней, классифицированных в других рубриках;B95.8
10002809;10000221;Mycoplasma pneumoniae [M.pneumoniae] как причина болезней, классифицированных в других рубриках;B96.0
10002810;10000221;Klebsiella pneumoniae [K.pneumoniae] как причина болезней, классифицированных в других рубриках;B96.1
10002811;10000221;Escherichia coli [E.coli] как причина болезней, классифицированных в других рубриках;B96.2
10002812;10000221;Haemophilus influenzae [H.influenzae] как причина болезней, классифицированных в других рубриках;B96.3
10002813;10000221;Proteus (mirabilis) (morganii) как причина болезней, классифицированных в других рубриках;B96.4
10002814;10000221;Pseudomonas (aeruginosa) (mallei) (pseudomallei) как причина болезней, классифицированных в других рубриках;B96.5
10002815;10000221;Bacillus fragilis [B.fragilis] как причина болезней, классифицированных в других рубриках;B96.6
10002816;10000221;Clostridium perfringens [C.perfringens] как причина болезней, классифицированных в других рубриках;B96.7
10002817;10000221;Другие уточненные бактериальные агенты как причина болезней, классифицированных в других рубриках;B96.8
10002818;10000222;Аденовирусы как причина болезней, классифицированных в других рубриках;B97.0
10002819;10000222;Энтеровирусы как причина болезней, классифицированных в других рубриках;B97.1
10002820;10000222;Коронавирусы как причина болезней, классифицированных в других рубриках;B97.2
10002821;10000222;Ретровирусы как причина болезней, классифицированных в других рубриках;B97.3
10002822;10000222;Респираторно-синцитиальный вирус как причина болезней, классифицированных в других рубриках;B97.4
10002823;10000222;Реовирусы как причина болезней, классифицированных в других рубриках;B97.5
10002824;10000222;Парвовирусы как причина болезней, классифицированных в других рубриках;B97.6
10002825;10000222;Папилломавирусы как причина болезней, классифицированных в других рубриках;B97.7
10002826;10000222;Другие вирусные агенты как причина болезней, классифицированных в других рубриках;B97.8
10002827;10000224;Наружной поверхности губы;C00.0
10002828;10000224;Наружной поверхности нижней губы;C00.1
10002829;10000224;Наружной поверхности губы неуточненной;C00.2
10002830;10000224;Внутренней поверхности верхней губы;C00.3
10002831;10000224;Внутренней поверхности нижней губы;C00.4
10002832;10000224;Внутренней поверхности губы неуточненной;C00.5
10002833;10000224;Спайки губы;C00.6
10002834;10000224;Поражение, выходящее за пределы одной и более вышеуказанных локализаций губы;C00.8
10002835;10000224;Губы неуточненной части;C00.9
10002836;10000226;Спинки языка;C02.0
10002837;10000226;Боковой поверхности языка;C02.1
10002838;10000226;Нижней поверхности языка;C02.2
10002839;10000226;Передних 2/3 языка неуточненной части;C02.3
10002840;10000226;Язычной миндалины;C02.4
10002841;10000226;Поражение языка, выходящее за пределы одной и более вышеуказанных локализаций;C02.8
10002842;10000226;Языка неуточненной части;C02.9
10002843;10000227;Десны верхней челюсти;C03.0
10002844;10000227;Десны нижней челюсти;C03.1
10002845;10000227;Десны неуточненной;C03.9
10002846;10000228;Передней части дна полости рта;C04.0
10002847;10000228;Боковой части дна полости рта;C04.1
10002848;10000228;Поражение дна полости рта, выходящее за пределы одной и более вышеуказанных локализаций;C04.8
10002849;10000228;Дна полости рта неуточненное;C04.9
10002850;10000229;Твердого неба;C05.0
10002851;10000229;Мягкого неба;C05.1
10002852;10000229;Язычка;C05.2
10002853;10000229;Поражения неба, выходящие за пределы одной и более вышеуказанных локализаций;C05.8
10002854;10000229;Неба неуточненное;C05.9
10002855;10000230;Слизистой оболочки щеки;C06.0
10002856;10000230;Преддверия рта;C06.1
10002857;10000230;Ретромолярной области;C06.2
10002858;10000230;Поражение рта, выходящее за пределы одной и более вышеуказанных локализаций;C06.8
10002859;10000230;Рта неуточненное;C06.9
10002860;10000232;Поднижнечелюстной железы;C08.0
10002861;10000232;Подъязычной железы;C08.1
10002862;10000232;Поражение больших слюнных желез, выходящее за пределы;C08.8
10002863;10000232;Большой слюнной железы неуточненной;C08.9
10002864;10000233;Миндаликовой ямочки;C09.0
10002865;10000233;Дужки небной миндалины (передней) (задней);C09.1
10002866;10000233;Поражение миндалины, выходящее за пределы одной и более вышеуказанных локализаций;C09.8
10002867;10000233;Миндалины неуточненной;C09.9
10002868;10000234;Ямки надгортанника;C10.0
10002869;10000234;Передней поверхности надгортанника;C10.1
10002870;10000234;Боковой стенки ротоглотки;C10.2
10002871;10000234;Задней стенки ротоглотки;C10.3
10002872;10000234;Жаберных щелей;C10.4
10002873;10000234;Поражение ротоглотки, выходящее за пределы одной и более;C10.8
10002874;10000234;Ротоглотки неуточненное;C10.9
10002875;10000235;Верхней стенки носоглотки;C11.0
10002876;10000235;Задней стенки носоглотки;C11.1
10002877;10000235;Боковой стенки носоглотки;C11.2
10002878;10000235;Передней стенки носоглотки;C11.3
10002879;10000235;Поражения носоглотки, выходящие за пределы одной и более вышеуказанных локализаций;C11.8
10002880;10000235;Носоглотки неуточненное;C11.9
10002881;10000237;Заперстневидной области;C13.0
10002882;10000237;Черпалонадгортанной складки нижней части глотки;C13.1
10002883;10000237;Задней стенки нижней части глотки;C13.2
10002884;10000237;Поражение нижней части глотки, выходящее за пределы одной и более вышеуказанных локализаций;C13.8
10002885;10000237;Нижней части глотки неуточненное;C13.9
10002886;10000238;Глотки неуточненное;C14.0
10002887;10000238;Гортаноглотки;C14.1
10002888;10000238;Глоточного кольца Вальдейера;C14.2
10002889;10000238;Поражение губы, полости рта и глотки, выходящее за пределы;C14.8
10002890;10000239;Шейного отдела пищевода;C15.0
10002891;10000239;Грудного отдела пищевода;C15.1
10002892;10000239;Абдоминального отдела пищевода;C15.2
10002893;10000239;Верхней трети пищевода;C15.3
10002894;10000239;Средней трети пищевода;C15.4
10002895;10000239;Нижней трети пищевода;C15.5
10002896;10000239;Поражение пищевода, выходящее за пределы одной и более;C15.8
10002897;10000239;Пищевода неуточненное;C15.9
10002898;10000240;Кардии;C16.0
10002899;10000240;Дна желудка;C16.1
10002900;10000240;Тела желудка;C16.2
10002901;10000240;Преддверия привратника;C16.3
10002902;10000240;Привратника;C16.4
10002903;10000240;Малой кривизны желудка неуточненной части;C16.5
10002904;10000240;Большой кривизны желудка неуточненной части;C16.6
10002905;10000240;Поражение желудка, выходящее за пределы одной и более;C16.8
10002906;10000240;Желудка неуточненной локализации;C16.9
10002907;10000241;Двенадцатиперстной кишки;C17.0
10002908;10000241;Тощей кишки;C17.1
10002909;10000241;Подвздошной кишки;C17.2
10002910;10000241;Дивертикула Меккеля;C17.3
10002911;10000241;Поражение тонкого кишечника, выходящее за пределы одной;C17.8
10002912;10000241;Тонкого кишечника неуточненной локализации;C17.9
10002913;10000242;Слепой кишки;C18.0
10002914;10000242;Червеобразного отростка;C18.1
10002915;10000242;Восходящей ободочной кишки;C18.2
10002916;10000242;Печеночного изгиба;C18.3
10002917;10000242;Поперечной ободочной кишки;C18.4
10002918;10000242;Селезеночного изгиба;C18.5
10002919;10000242;Нисходящей ободочной кишки;C18.6
10002920;10000242;Сигмовидной кишки;C18.7
10002921;10000242;Поражение ободочной кишки, выходящее за пределы одной и более вышеуказанных локализаций;C18.8
10002922;10000242;Ободочной кишки неуточненной локализации;C18.9
10002923;10000245;Заднего прохода неуточненной локализации;C21.0
10002924;10000245;Анального канала;C21.1
10002925;10000245;Клоакогенной зоны;C21.2
10002926;10000245;Поражение прямой кишки, заднего прохода [ануса] и анального канала, выходящее за  пределы одной и более вышеуказанных локализаций;C21.8
10002927;10000246;Печеночноклеточный рак;C22.0
10002928;10000246;Рак внутрипеченочного желчного протока;C22.1
10002929;10000246;Гепатобластома;C22.2
10002930;10000246;Ангиосаркома печени;C22.3
10002931;10000246;Другие саркомы печени;C22.4
10002932;10000246;Другие уточненные раки печени;C22.7
10002933;10000246;Злокачественное новообразование печени неуточненное;C22.9
10002934;10000248;Внепеченочного желчного протока;C24.0
10002935;10000248;Ампулы фатерова сосочка;C24.1
10002936;10000248;Поражение желчных путей, выходящее за пределы одной и более вышеуказанных локализаций;C24.8
10002937;10000248;Желчных путей неуточненное;C24.9
10002938;10000249;Головки поджелудочной железы;C25.0
10002939;10000249;Тела поджелудочной железы;C25.1
10002940;10000249;Хвоста поджелудочной железы;C25.2
10002941;10000249;Протока поджелудочной железы;C25.3
10002942;10000249;Островковых клеток поджелудочной железы;C25.4
10002943;10000249;Других частей поджелудочной железы;C25.7
10002944;10000249;Поражение поджелудочной железы, выходящее за пределы одной и более вышеуказанных локализаций;C25.8
10002945;10000249;Поджелудочной железы неуточненное;C25.9
10002946;10000250;Кишечного тракта неуточненной части;C26.0
10002947;10000250;Селезенки;C26.1
10002948;10000250;Поражение органов пищеварения, выходящее за пределы одной и более вышеуказанных локализаций;C26.8
10002949;10000250;Неточно обозначенные локализации в пределах пищеварительной системы;C26.9
10002950;10000251;Полости носа;C30.0
10002951;10000251;Среднего уха;C30.1
10002952;10000252;Верхнечелюстной пазухи;C31.0
10002953;10000252;Решетчатой пазухи;C31.1
10002954;10000252;Лобной пазухи;C31.2
10002955;10000252;Клиновидной пазухи;C31.3
10002956;10000252;Поражение придаточных пазух, выходящее за пределы одной;C31.8
10002957;10000252;Придаточной пазухи неуточненное;C31.9
10002958;10000253;Собственно голосового аппарата;C32.0
10002959;10000253;Над собственно голосовым аппаратом;C32.1
10002960;10000253;Под собственно голосовым аппаратом;C32.2
10002961;10000253;Хрящей гортани;C32.3
10002962;10000253;Поражение гортани, выходящее за пределы одной и более вышеуказанных локализаций;C32.8
10002963;10000253;Гортани неуточненное;C32.9
10002964;10000255;Главных бронхов;C34.0
10002965;10000255;Верхней доли, бронхов или легкого;C34.1
10002966;10000255;Средней доли, бронхов или легкого;C34.2
10002967;10000255;Нижней доли, бронхов или легкого;C34.3
10002968;10000255;Поражение бронхов или легкого, выходящее за пределы одной и более вышеуказанных локализаций;C34.8
10002969;10000255;Бронхов или легкого неуточненной локализации;C34.9
10002970;10000257;Сердца;C38.0
10002971;10000257;Переднего средостения;C38.1
10002972;10000257;Заднего средостения;C38.2
10002973;10000257;Средостения неуточненной части;C38.3
10002974;10000257;Плевры;C38.4
10002975;10000257;Поражение сердца, средостения и плевры, выходящее за пределы одной и более вышеуказанных локализаций;C38.8
10002976;10000258;Верхних дыхательных путей неуточненной части;C39.0
10002977;10000258;Поражение органов дыхания и внутригрудных органов, выходящее за пределы одной и более вышеуказанных локализаций;C39.8
10002978;10000258;Неточно обозначенных локализаций в пределах органов дыхания;C39.9
10002979;10000259;Лопатки и длинных костей верхней конечности;C40.0
10002980;10000259;Коротких костей верхней конечности;C40.1
10002981;10000259;Длинных костей нижней конечности;C40.2
10002982;10000259;Коротких костей нижней конечности;C40.3
10002983;10000259;Поражение костей и суставных хрящей конечностей, выходящее за пределы одной и более вышеуказанных локализаций;C40.8
10002984;10000259;Костей и суставных хрящей конечности неуточненной локализации;C40.9
10002985;10000260;Костей черепа и лица;C41.0
10002986;10000260;Нижней челюсти;C41.1
10002987;10000260;Позвоночного столба;C41.2
10002988;10000260;Ребер, грудины и ключицы;C41.3
10002989;10000260;Костей таза, крестца и копчика;C41.4
10002990;10000260;Поражение костей и суставных хрящей, выходящее за пределы одной и более вышеуказанных локализаций;C41.8
10002991;10000260;Костей и суставных хрящей неуточненное;C41.9
10002992;10000261;Злокачественная меланома губы;C43.0
10002993;10000261;Злокачественная меланома века, включая спайку век;C43.1
10002994;10000261;Злокачественная меланома уха и наружного слухового прохода;C43.2
10002995;10000261;Злокачественная меланома других и неуточненных частей лица;C43.3
10002996;10000261;Злокачественная меланома волосистой части головы и шеи;C43.4
10002997;10000261;Злокачественная меланома туловища;C43.5
10002998;10000261;Злокачественная меланома верхней конечности, включая;C43.6
10002999;10000261;Злокачественная меланома нижней конечности, включая;C43.7
10003000;10000261;Злокачественная меланома кожи, выходящая за пределы одной;C43.8
10003001;10000261;Злокачественная меланома кожи неуточненная;C43.9
10003002;10000262;Кожи губы;C44.0
10003003;10000262;Кожи века, включая спайку век;C44.1
10003004;10000262;Кожи уха и наружного слухового прохода;C44.2
10003005;10000262;Кожи других и неуточненных частей лица;C44.3
10003006;10000262;Кожи волосистой части головы и шеи;C44.4
10003007;10000262;Кожи туловища;C44.5
10003008;10000262;Кожи верхней конечности, включая область плечевого пояса;C44.6
10003009;10000262;Кожи нижней конечности, включая тазобедренную область;C44.7
10003010;10000262;Поражения кожи, выходящие за пределы одной и более выше-;C44.8
10003011;10000262;Злокачественные новообразования кожи неуточненной области;C44.9
10003012;10000263;Мезотелиома плевры;C45.0
10003013;10000263;Мезотелиома брюшины;C45.1
10003014;10000263;Мезотелиома перикарда;C45.2
10003015;10000263;Мезотелиома других локализаций;C45.7
10003016;10000263;Мезотелиома неуточненная;C45.9
10003017;10000264;Саркома Капоши кожи;C46.0
10003018;10000264;Саркома Капоши мягких тканей;C46.1
10003019;10000264;Саркома Капоши неба;C46.2
10003020;10000264;Саркома Капоши лимфатических узлов;C46.3
10003021;10000264;Саркома Капоши других локализаций;C46.7
10003022;10000264;Саркома Капоши множественных органов;C46.8
10003023;10000264;Саркома Капоши неуточненной локализации;C46.9
10003024;10000265;Периферических нервов головы, лица и шеи;C47.0
10003025;10000265;Периферических нервов верхней конечности, включая область плечевого пояса;C47.1
10003026;10000265;Периферических нервов нижней конечности, включая тазобедренную область;C47.2
10003027;10000265;Периферических нервов грудной клетки;C47.3
10003028;10000265;Периферических нервов живота;C47.4
10003029;10000265;Периферических нервов таза;C47.5
10003030;10000265;Периферических нервов туловища неуточненное;C47.6
10003031;10000265;Поражение периферических нервов и вегетативной нервной системы, выходящее за пределы одной и более вышеуказанных локализаций;C47.8
10003032;10000265;Периферических нервов и вегетативной нервной системы неуточненной локализации;C47.9
10003033;10000266;Забрюшинного пространства;C48.0
10003034;10000266;Уточненных частей брюшины;C48.1
10003035;10000266;Брюшины неуточненной части;C48.2
10003036;10000266;Поражение забрюшинного пространства и брюшины, выходящее за пределы одной и более вышеуказанных локализаций;C48.8
10003037;10000267;Соединительной и мягких тканей головы, лица и шеи;C49.0
10003038;10000267;Соединительной и мягких тканей верхней конечности, включая область плечевого пояса;C49.1
10003039;10000267;Соединительной и мягких тканей нижней конечности, включая тазобедренную область;C49.2
10003040;10000267;Соединительной и мягких тканей грудной клетки;C49.3
10003041;10000267;Соединительной и мягких тканей живота;C49.4
10003042;10000267;Соединительной и мягких тканей таза;C49.5
10003043;10000267;Соединительной и мягких тканей туловища неуточненной локализации;C49.6
10003044;10000267;Поражение соединительной и мягких тканей, выходящее за пределы одной и более вышеуказанных локализаций;C49.8
10003045;10000267;Соединительной и мягких тканей неуточненной локализации;C49.9
10003046;10000268;Соска и ареолы;C50.0
10003047;10000268;Центральной части молочной железы;C50.1
10003048;10000268;Верхневнутреннего квадранта молочной железы;C50.2
10003049;10000268;Нижневнутреннего квадранта молочной железы;C50.3
10003050;10000268;Верхненаружного квадранта молочной железы;C50.4
10003051;10000268;Нижненаружного квадранта молочной железы;C50.5
10003052;10000268;Подмышечной задней части молочной железы;C50.6
10003053;10000268;Поражение молочной железы, выходящее за пределы одной и более вышеуказанных локализаций;C50.8
10003054;10000268;Молочной железы неуточненной части;C50.9
10003055;10000269;Большой срамной губы;C51.0
10003056;10000269;Малой срамной губы;C51.1
10003057;10000269;Клитора;C51.2
10003058;10000269;Поражение вульвы, выходящее за пределы одной и более вышеуказанных локализаций;C51.8
10003059;10000269;Вульвы неуточненной части;C51.9
10003060;10000271;Внутренней части;C53.0
10003061;10000271;Наружной части;C53.1
10003062;10000271;Поражение шейки матки, выходящее за пределы одной и более вышеуказанных локализаций;C53.8
10003063;10000271;Шейки матки неуточненной части;C53.9
10003064;10000272;Перешейка матки;C54.0
10003065;10000272;Эндометрия;C54.1
10003066;10000272;Миометрия;C54.2
10003067;10000272;Дна матки;C54.3
10003068;10000272;Поражение тела матки, выходящее за пределы одной и более вышеуказанных локализаций;C54.8
10003069;10000272;Тела матки неуточненной локализации;C54.9
10003070;10000275;Фаллопиевой трубы;C57.0
10003071;10000275;Широкой связки;C57.1
10003072;10000275;Круглой связки;C57.2
10003073;10000275;Параметрия;C57.3
10003074;10000275;Придатков матки неуточненных;C57.4
10003075;10000275;Других уточненных женских половых органов;C57.7
10003076;10000275;Поражение женских половых органов, выходящее за пределы одной и более вышеуказанных локализаций;C57.8
10003077;10000275;Женских половых органов неуточненной локализации;C57.9
10003078;10000277;Крайней плоти;C60.0
10003079;10000277;Головки полового члена;C60.1
10003080;10000277;Тела полового члена;C60.2
10003081;10000277;Поражение полового члена, выходящее за пределы одной и более вышеуказанных локализаций;C60.8
10003082;10000277;Полового члена неуточненной локализации;C60.9
10003083;10000279;Неопустившегося яичка;C62.0
10003084;10000279;Опущенного яичка;C62.1
10003085;10000279;Яичка неуточненное;C62.9
10003086;10000280;Придатка яичка;C63.0
10003087;10000280;Семенного канатика;C63.1
10003088;10000280;Мошонки;C63.2
10003089;10000280;Других уточненных мужских половых органов;C63.7
10003090;10000280;Поражение мужских половых органов, выходящее за пределы одной и более вышеуказанных локализаций;C63.8
10003091;10000280;Мужских половых органов неуточненной локализации;C63.9
10003092;10000284;Треугольника мочевого пузыря;C67.0
10003093;10000284;Купола мочевого пузыря;C67.1
10003094;10000284;Боковой стенки мочевого пузыря;C67.2
10003095;10000284;Передней стенки мочевого пузыря;C67.3
10003096;10000284;Задней стенки мочевого пузыря;C67.4
10003097;10000284;Шейки мочевого пузыря;C67.5
10003098;10000284;Мочеточникового отверстия;C67.6
10003099;10000284;Первичного мочевого протока (урахуса);C67.7
10003100;10000284;Поражение мочевого пузыря, выходящее за пределы одной;C67.8
10003101;10000284;Мочевого пузыря неуточненной части;C67.9
10003102;10000285;Уретры;C68.0
10003103;10000285;Парауретральных желез;C68.1
10003104;10000285;Поражение мочевых органов, выходящее за пределы одной;C68.8
10003105;10000285;Мочевых органов неуточненное;C68.9
10003106;10000286;Конъюнктивы;C69.0
10003107;10000286;Роговицы;C69.1
10003108;10000286;Сетчатки;C69.2
10003109;10000286;Сосудистой оболочки;C69.3
10003110;10000286;Ресничного [цилиарного] тела;C69.4
10003111;10000286;Слезной железы и протока;C69.5
10003112;10000286;Глазницы;C69.6
10003113;10000286;Поражение глаза и его придаточного аппарата, выходящее за пределы одной и более вышеуказанных локализаций;C69.8
10003114;10000286;Глаза неуточненной части;C69.9
10003115;10000287;Оболочек головного мозга;C70.0
10003116;10000287;Оболочек спинного мозга;C70.1
10003117;10000287;Мозговых оболочек неуточненных;C70.9
10003118;10000288;Большого мозга, кроме долей и желудочков;C71.0
10003119;10000288;Лобной доли;C71.1
10003120;10000288;Височной доли;C71.2
10003121;10000288;Теменной доли;C71.3
10003122;10000288;Затылочной доли;C71.4
10003123;10000288;Желудочка мозга;C71.5
10003124;10000288;Мозжечка;C71.6
10003125;10000288;Ствола мозга;C71.7
10003126;10000288;Поражение, выходящее за пределы одной и более вышеука-;C71.8
10003127;10000288;Головного мозга неуточненной локализации;C71.9
10003128;10000289;Спинного мозга;C72.0
10003129;10000289;Конского хвоста;C72.1
10003130;10000289;Обонятельного нерва;C72.2
10003131;10000289;Зрительного нерва;C72.3
10003132;10000289;Слухового нерва;C72.4
10003133;10000289;Других и неуточненных черепных нервов;C72.5
10003134;10000289;Поражение спинного мозга и других отделов центральной нервной системы, выходящее за пределы одной и более вышеуказанных локализаций;C72.8
10003135;10000289;Центральной нервной системы неуточненного отдела;C72.9
10003136;10000291;Коры надпочечника;C74.0
10003137;10000291;Мозгового слоя надпочечника;C74.1
10003138;10000291;Надпочечника неуточненной части;C74.9
10003139;10000292;Паращитовидной [околощитовидной] железы;C75.0
10003140;10000292;Гипофиза;C75.1
10003141;10000292;Краниофарингеального протока;C75.2
10003142;10000292;Шишковидной железы;C75.3
10003143;10000292;Каротидного гломуса;C75.4
10003144;10000292;Аортального гломуса и других параганглиев;C75.5
10003145;10000292;Поражение более чем одной эндокринной железы неуточненное;C75.8
10003146;10000292;Эндокринной железы неуточненной;C75.9
10003147;10000293;Головы, лица и шеи;C76.0
10003148;10000293;Грудной клетки;C76.1
10003149;10000293;Живота;C76.2
10003150;10000293;Таза;C76.3
10003151;10000293;Верхней конечности;C76.4
10003152;10000293;Нижней конечности;C76.5
10003153;10000293;Других неуточненных локализаций;C76.7
10003154;10000293;Поражение других и неточно обозначенных локализаций, вы-;C76.8
10003155;10000294;Лимфатических узлов головы, лица и шеи;C77.0
10003156;10000294;Внутригрудных лимфатических узлов;C77.1
10003157;10000294;Внутрибрюшных лимфатических узлов;C77.2
10003158;10000294;Лимфатических узлов подмышечной впадины и верхней конеч-;C77.3
10003159;10000294;Лимфатических узлов паховой области и нижней конечности;C77.4
10003160;10000294;Внутритазовых лимфатических узлов;C77.5
10003161;10000294;Лимфатических узлов множественных локализаций;C77.8
10003162;10000294;Лимфатических узлов неуточненной локализации;C77.9
10003163;10000295;Вторичное злокачественное новообразование легкого;C78.0
10003164;10000295;Вторичное злокачественное новообразование средостения;C78.1
10003165;10000295;Вторичное злокачественное новообразование плевры;C78.2
10003166;10000295;Вторичное злокачественное новообразование других и не уточненных органов дыхания;C78.3
10003167;10000295;Вторичное злокачественное новообразование тонкого кишечника;C78.4
10003168;10000295;Вторичное злокачественное новообразование толстого кишечника и прямой кишки;C78.5
10003169;10000295;Вторичное злокачественное новообразование забрюшинного пространства и брюшины;C78.6
10003170;10000295;Вторичное злокачественное новообразование печени;C78.7
10003171;10000295;Вторичное злокачественное новообразование других и неуточненных органов пищеварения;C78.8
10003172;10000296;Вторичное злокачественное новообразование почки и почечных лоханок;C79.0
10003173;10000296;Вторичное злокачественное новообразование мочевого пузыря, других и неуточненных мочевых органов;C79.1
10003174;10000296;Вторичное злокачественное новообразование кожи;C79.2
10003175;10000296;Вторичное злокачественное новообразование головного мозга и мозговых оболочек;C79.3
10003176;10000296;Вторичное злокачественное новообразование других и неуточненных отделов нервной системы;C79.4
10003177;10000296;Вторичное злокачественное новообразование костей и костного мозга;C79.5
10003178;10000296;Вторичное злокачественное новообразование яичника;C79.6
10003179;10000296;Вторичное злокачественное новообразование надпочечника;C79.7
10003180;10000296;Вторичное злокачественное новообразование других уточненных локализаций;C79.8
10003181;10000298;Лимфоидное преобладание;C81.0
10003182;10000298;Нодулярный склероз;C81.1
10003183;10000298;Смешанно-клеточный вариант;C81.2
10003184;10000298;Лимфоидное истощение;C81.3
10003185;10000298;Другие формы болезни Ходжкина;C81.7
10003186;10000298;Болезнь Ходжкина неуточненная;C81.9
10003187;10000299;Мелкоклеточная с расщепленными ядрами, фолликулярная;C82.0
10003188;10000299;Смешанная, мелкоклеточная с расщепленными ядрами и круп-;C82.1
10003189;10000299;Крупноклеточная, фолликулярная;C82.2
10003190;10000299;Другие типы фолликулярной неходжкинской лимфомы;C82.7
10003191;10000299;Фолликулярная неходжкинская лимфома неуточненная;C82.9
10003192;10000300;Мелкоклеточная (диффузная);C83.0
10003193;10000300;Мелкоклеточная с расщепленными ядрами (диффузная);C83.1
10003194;10000300;Смешанная мелко- и крупноклеточная (диффузная);C83.2
10003195;10000300;Крупноклеточная (диффузная);C83.3
10003196;10000300;Иммунобластная (диффузная);C83.4
10003197;10000300;Лимфобластная (диффузная);C83.5
10003198;10000300;Недифференцированная (диффузная);C83.6
10003199;10000300;Опухоль Беркитта;C83.7
10003200;10000300;Другие типы диффузных неходжкинских лимфом;C83.8
10003201;10000300;Диффузная неходжкинская лимфома неуточненная;C83.9
10003202;10000301;Грибовидный микоз;C84.0
10003203;10000301;Болезнь Сезари;C84.1
10003204;10000301;Лимфома T-зоны;C84.2
10003205;10000301;Лимфоэпителиоидная лимфома;C84.3
10003206;10000301;Периферическая T-клеточная лимфома;C84.4
10003207;10000301;Другие и неуточненные T-клеточные лимфомы;C84.5
10003208;10000302;Лимфосаркома;C85.0
10003209;10000302;B-клеточная лимфома неуточненная;C85.1
10003210;10000302;Другие уточненные типы неходжкинской лимфомы;C85.7
10003211;10000302;Неходжкинская лимфома неуточненного типа;C85.9
10003212;10000303;Макроглобулинемия Вальденстрема;C88.0
10003213;10000303;Болезнь альфа-тяжелых цепей;C88.1
10003214;10000303;Болезнь гамма-тяжелых цепей;C88.2
10003215;10000303;Иммунопролиферативная болезнь тонкого кишечника;C88.3
10003216;10000303;Другие злокачественные иммунопролиферативные болезни;C88.7
10003217;10000303;Злокачественные иммунопролиферативные болезни неуточненные;C88.9
10003218;10000304;Множественная миелома;C90.0
10003219;10000304;Плазмоклеточный лейкоз;C90.1
10003220;10000304;Плазмоцитома экстрамедуллярная;C90.2
10003221;10000305;Острый лимфобластный лейкоз;C91.0
10003222;10000305;Хронический лимфоцитарный лейкоз;C91.1
10003223;10000305;Подострый лимфоцитарный лейкоз;C91.2
10003224;10000305;Пролимфоцитарный лейкоз;C91.3
10003225;10000305;Волосатоклеточный лейкоз;C91.4
10003226;10000305;T-клеточный лейкоз взрослых;C91.5
10003227;10000305;Другой уточненный лимфоидный лейкоз;C91.7
